Date,Open,High,Low,Close,Adj Close,Volume
2000-11-13,124.879997,124.879997,124.879997,124.879997,82.257072,0
2000-11-14,127.820000,127.820000,127.820000,127.820000,84.193634,0
2000-11-15,128.470001,128.470001,128.470001,128.470001,84.621765,0
2000-11-16,126.860001,126.860001,126.860001,126.860001,83.561287,0
2000-11-17,126.440002,126.440002,126.440002,126.440002,83.284637,0
2000-11-20,124.120003,124.120003,124.120003,124.120003,81.756470,0
2000-11-21,124.559998,124.559998,124.559998,124.559998,82.046288,0
2000-11-22,122.260002,122.260002,122.260002,122.260002,80.531319,0
2000-11-24,124.059998,124.059998,124.059998,124.059998,81.716949,0
2000-11-27,124.730003,124.730003,124.730003,124.730003,82.158249,0
2000-11-28,123.540001,123.540001,123.540001,123.540001,81.374443,0
2000-11-29,124.110001,124.110001,124.110001,124.110001,81.749878,0
2000-11-30,121.620003,121.620003,121.620003,121.620003,80.109772,0
2000-12-01,121.650002,121.650002,121.650002,121.650002,80.129486,0
2000-12-04,122.550003,122.550003,122.550003,122.550003,80.722343,0
2000-12-05,127.330002,127.330002,127.330002,127.330002,83.870842,0
2000-12-06,125.029999,125.029999,125.029999,125.029999,82.355888,0
2000-12-07,124.309998,124.309998,124.309998,124.309998,81.881615,0
2000-12-08,126.750000,126.750000,126.750000,126.750000,83.488823,0
2000-12-11,127.720001,127.720001,127.720001,127.720001,84.127739,0
2000-12-12,126.900002,126.900002,126.900002,126.900002,83.587616,0
2000-12-13,125.889999,125.889999,125.889999,125.889999,82.922371,0
2000-12-14,124.120003,124.120003,124.120003,124.120003,81.756470,0
2000-12-15,121.459999,121.459999,121.459999,121.459999,80.004356,0
2000-12-18,122.440002,122.440002,122.440002,122.440002,80.649857,0
2000-12-19,120.860001,120.860001,120.860001,120.860001,79.609161,0
2000-12-20,117.080002,117.080002,117.080002,117.080002,77.119301,0
2000-12-21,118.019997,118.019997,118.019997,118.019997,77.738495,0
2000-12-22,120.519997,120.519997,120.519997,120.519997,79.385193,0
2000-12-26,121.370003,121.370003,121.370003,121.370003,79.945053,0
